,book,author,placement,price,nprice
0,Генетические алгоритмы на Python,Вирсански,"Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 85, полка 05","Цена: 2469,00 руб.",2469.0
1,"Изучаем Python, том 1",М.  Лутц,"Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 76, полка 01","Цена: 2769,00 руб.",2769.0
2,"Python и машинное обучение: машинное и глубокое обучение с использованием Python, scikit-learn и TenFlow","С. Рашка, В. Мирджалили","Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 76, полка 01","Цена: 2769,00 руб.",2769.0
3,Введение в машинное обучение с помощью Python,"А. Мюллер, С. Гвидо","Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 85, полка 05","Цена: 2769,00 руб.",2769.0
4,Автоматизация рутинных задач с помощью Python,Э. Свейгарт,"Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 76, полка 06","Цена: 1659,00 руб.",1659.0
5,Программирование на Python 3,М. Саммерфилд,"Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 76, полка 05","Цена: 2879,00 руб.",2879.0
6,Криптография и взлом шифров на Python,Свейгарт,"Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 76, полка 08","Цена: 1659,00 руб.",1659.0
7,Сумка-шоппер ErichKrause® 10L Purple Python,,"Расположение в торговом зале: Уровень 1, зал № 09, секция 05, шкаф 31, полка 01","Цена: 419,00 руб.",419.0
8,Python. Справочник. Полное описание языка,"А. Мартелли , А. Рейвенскрофт, С. Холден","Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 76, полка 01","Цена: 2769,00 руб.",2769.0
9,Стандартная библиотека Python 3,Д. Хеллман,"Расположение в торговом зале: Уровень 1, зал № 07, секция 08, шкаф 76, полка 01","Цена: 3319,00 руб.",3319.0
